# ======================================================================
# Aggregated IP/Proxy Addresses
# Generated: 2026-01-01 12:35:56 UTC
# Total: 1616 | Valid: 763 | Untested: 0
# ======================================================================
# Format: ADDRESS | STATUS | LATENCY | TYPE | LOCATION | ISP
# ======================================================================

47.86.231.218:1080     | ✓ | 193ms   | -    | 韩国              | -
47.86.231.229:1080     | ✓ | 195ms   | -    | 韩国              | -
47.86.232.177:1080     | ✓ | 194ms   | -    | 韩国              | -
47.86.234.45:1080      | ✓ | 199ms   | -    | 韩国              | -
47.86.234.70:1080      | ✓ | 192ms   | -    | 韩国              | -
47.86.234.88:1080      | ✓ | 198ms   | -    | 韩国              | -
47.86.235.43:1080      | ✓ | 195ms   | -    | 韩国              | -
47.86.238.121:1080     | ✓ | 194ms   | -    | 韩国              | -
47.93.82.173:8888      | ✓ | 243ms   | -    | 中国              | -
47.101.199.164:1080    | ✗ | -       | -    | 中国              | -
